athlete,country,country_code,event,dive_number,points,final_rank,note
Xie Siyi,China,CHN,3m Springboard,1,86.70,1,
Xie Siyi,China,CHN,3m Springboard,2,79.20,1,
Xie Siyi,China,CHN,3m Springboard,3,97.20,1,
Xie Siyi,China,CHN,3m Springboard,4,91.00,1,
Xie Siyi,China,CHN,3m Springboard,5,88.80,1,
Xie Siyi,China,CHN,3m Springboard,6,100.70,1,
Wang Zongyuan,China,CHN,3m Springboard,1,81.60,2,
Wang Zongyuan,China,CHN,3m Springboard,2,91.00,2,
Wang Zongyuan,China,CHN,3m Springboard,3,95.55,2,
Wang Zongyuan,China,CHN,3m Springboard,4,89.25,2,
Wang Zongyuan,China,CHN,3m Springboard,5,70.20,2,
Wang Zongyuan,China,CHN,3m Springboard,6,102.60,2,
Osmar Olvera,Mexico,MEX,3m Springboard,1,79.90,3,
Osmar Olvera,Mexico,MEX,3m Springboard,2,89.25,3,
Osmar Olvera,Mexico,MEX,3m Springboard,3,63.00,3,
Osmar Olvera,Mexico,MEX,3m Springboard,4,75.85,3,
Osmar Olvera,Mexico,MEX,3m Springboard,5,98.80,3,
Osmar Olvera,Mexico,MEX,3m Springboard,6,93.60,3,
Carson Tyler,United States,USA,3m Springboard,1,76.50,4,
Carson Tyler,United States,USA,3m Springboard,2,67.50,4,
Carson Tyler,United States,USA,3m Springboard,3,69.75,4,
Carson Tyler,United States,USA,3m Springboard,4,72.00,4,
Carson Tyler,United States,USA,3m Springboard,5,64.75,4,
Carson Tyler,United States,USA,3m Springboard,6,78.75,4,
Jordan Houlden,Great Britain,GBR,3m Springboard,1,76.50,5,
Jordan Houlden,Great Britain,GBR,3m Springboard,2,64.60,5,
Jordan Houlden,Great Britain,GBR,3m Springboard,3,68.25,5,
Jordan Houlden,Great Britain,GBR,3m Springboard,4,74.10,5,
Jordan Houlden,Great Britain,GBR,3m Springboard,5,70.20,5,
Jordan Houlden,Great Britain,GBR,3m Springboard,6,74.10,5,
Luis Uribe,Colombia,COL,3m Springboard,1,49.30,6,
Luis Uribe,Colombia,COL,3m Springboard,2,71.40,6,
Luis Uribe,Colombia,COL,3m Springboard,3,79.95,6,
Luis Uribe,Colombia,COL,3m Springboard,4,72.20,6,
Luis Uribe,Colombia,COL,3m Springboard,5,72.00,6,
Luis Uribe,Colombia,COL,3m Springboard,6,77.00,6,
Jack Laugher,Great Britain,GBR,3m Springboard,1,74.80,7,
Jack Laugher,Great Britain,GBR,3m Springboard,2,84.00,7,
Jack Laugher,Great Britain,GBR,3m Springboard,3,35.70,7,
Jack Laugher,Great Britain,GBR,3m Springboard,4,72.15,7,
Jack Laugher,Great Britain,GBR,3m Springboard,5,74.10,7,
Jack Laugher,Great Britain,GBR,3m Springboard,6,70.20,7,
Jules Bouyer,France,FRA,3m Springboard,1,73.10,8,
Jules Bouyer,France,FRA,3m Springboard,2,81.60,8,
Jules Bouyer,France,FRA,3m Springboard,3,67.50,8,
Jules Bouyer,France,FRA,3m Springboard,4,68.25,8,
Jules Bouyer,France,FRA,3m Springboard,5,57.75,8,
Jules Bouyer,France,FRA,3m Springboard,6,47.50,8,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,1,76.50,9,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,2,44.20,9,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,3,62.70,9,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,4,61.50,9,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,5,75.25,9,
Jonathan Ruvalcaba,Dominican Republic,DOM,3m Springboard,6,73.50,9,
Kurtis Mathews,Australia,AUS,3m Springboard,1,65.10,10,
Kurtis Mathews,Australia,AUS,3m Springboard,2,76.50,10,
Kurtis Mathews,Australia,AUS,3m Springboard,3,52.50,10,
Kurtis Mathews,Australia,AUS,3m Springboard,4,64.80,10,
Kurtis Mathews,Australia,AUS,3m Springboard,5,56.10,10,
Kurtis Mathews,Australia,AUS,3m Springboard,6,68.40,10,
Woo Ha-ram,South Korea,KOR,3m Springboard,1,71.40,11,
Woo Ha-ram,South Korea,KOR,3m Springboard,2,68.00,11,
Woo Ha-ram,South Korea,KOR,3m Springboard,3,45.60,11,
Woo Ha-ram,South Korea,KOR,3m Springboard,4,73.50,11,
Woo Ha-ram,South Korea,KOR,3m Springboard,5,63.00,11,
Woo Ha-ram,South Korea,KOR,3m Springboard,6,52.65,11,
Moritz Wesemann,Germany,GER,3m Springboard,1,74.80,12,
Moritz Wesemann,Germany,GER,3m Springboard,2,78.20,12,
Moritz Wesemann,Germany,GER,3m Springboard,3,40.25,12,
Moritz Wesemann,Germany,GER,3m Springboard,4,43.20,12,
Moritz Wesemann,Germany,GER,3m Springboard,5,57.00,12,
Moritz Wesemann,Germany,GER,3m Springboard,6,70.20,12,
Cao Yuan,China,CHN,10m Platform,1,96.90,1,
Cao Yuan,China,CHN,10m Platform,2,86.40,1,
Cao Yuan,China,CHN,10m Platform,3,97.20,1,
Cao Yuan,China,CHN,10m Platform,4,91.80,1,
Cao Yuan,China,CHN,10m Platform,5,88.80,1,
Cao Yuan,China,CHN,10m Platform,6,86.40,1,
Rikuto Tamai,Japan,JPN,10m Platform,1,88.00,2,
Rikuto Tamai,Japan,JPN,10m Platform,2,95.40,2,
Rikuto Tamai,Japan,JPN,10m Platform,3,94.35,2,
Rikuto Tamai,Japan,JPN,10m Platform,4,91.80,2,
Rikuto Tamai,Japan,JPN,10m Platform,5,39.10,2,
Rikuto Tamai,Japan,JPN,10m Platform,6,99.00,2,
Noah Williams,Great Britain,GBR,10m Platform,1,78.40,3,
Noah Williams,Great Britain,GBR,10m Platform,2,86.40,3,
Noah Williams,Great Britain,GBR,10m Platform,3,81.60,3,
Noah Williams,Great Britain,GBR,10m Platform,4,63.00,3,
Noah Williams,Great Britain,GBR,10m Platform,5,93.60,3,
Noah Williams,Great Britain,GBR,10m Platform,6,94.35,3,
Cassiel Rousseau,Australia,AUS,10m Platform,1,86.70,4,
Cassiel Rousseau,Australia,AUS,10m Platform,2,81.00,4,
Cassiel Rousseau,Australia,AUS,10m Platform,3,76.80,4,
Cassiel Rousseau,Australia,AUS,10m Platform,4,61.20,4,
Cassiel Rousseau,Australia,AUS,10m Platform,5,82.80,4,
Cassiel Rousseau,Australia,AUS,10m Platform,6,92.50,4,
Randal Willars,Mexico,MEX,10m Platform,1,84.00,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Randal Willars,Mexico,MEX,10m Platform,2,88.40,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Randal Willars,Mexico,MEX,10m Platform,3,73.50,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Randal Willars,Mexico,MEX,10m Platform,4,84.60,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Randal Willars,Mexico,MEX,10m Platform,5,84.40,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Randal Willars,Mexico,MEX,10m Platform,6,61.50,5,these 6 dives sum to 476.40 vs official final total 478.40 (likely a single mistyped dive on the source)
Timo Barthel,Germany,GER,10m Platform,1,70.40,6,
Timo Barthel,Germany,GER,10m Platform,2,69.30,6,
Timo Barthel,Germany,GER,10m Platform,3,79.20,6,
Timo Barthel,Germany,GER,10m Platform,4,67.50,6,
Timo Barthel,Germany,GER,10m Platform,5,81.60,6,
Timo Barthel,Germany,GER,10m Platform,6,78.20,6,
Rylan Wiens,Canada,CAN,10m Platform,1,76.80,7,
Rylan Wiens,Canada,CAN,10m Platform,2,88.80,7,
Rylan Wiens,Canada,CAN,10m Platform,3,90.10,7,
Rylan Wiens,Canada,CAN,10m Platform,4,70.20,7,
Rylan Wiens,Canada,CAN,10m Platform,5,42.90,7,
Rylan Wiens,Canada,CAN,10m Platform,6,76.80,7,
Oleksiy Sereda,Ukraine,UKR,10m Platform,1,67.20,8,
Oleksiy Sereda,Ukraine,UKR,10m Platform,2,66.60,8,
Oleksiy Sereda,Ukraine,UKR,10m Platform,3,66.30,8,
Oleksiy Sereda,Ukraine,UKR,10m Platform,4,75.60,8,
Oleksiy Sereda,Ukraine,UKR,10m Platform,5,64.80,8,
Oleksiy Sereda,Ukraine,UKR,10m Platform,6,86.40,8,
Kevin Berlín,Mexico,MEX,10m Platform,1,65.60,9,
Kevin Berlín,Mexico,MEX,10m Platform,2,59.50,9,
Kevin Berlín,Mexico,MEX,10m Platform,3,79.90,9,
Kevin Berlín,Mexico,MEX,10m Platform,4,77.40,9,
Kevin Berlín,Mexico,MEX,10m Platform,5,53.65,9,
Kevin Berlín,Mexico,MEX,10m Platform,6,84.60,9,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,1,83.20,10,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,2,61.05,10,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,3,64.35,10,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,4,72.00,10,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,5,45.90,10,
Nathan Zsombor-Murray,Canada,CAN,10m Platform,6,78.40,10,
Kyle Kothari,Great Britain,GBR,10m Platform,1,70.40,11,
Kyle Kothari,Great Britain,GBR,10m Platform,2,81.60,11,
Kyle Kothari,Great Britain,GBR,10m Platform,3,72.00,11,
Kyle Kothari,Great Britain,GBR,10m Platform,4,44.55,11,
Kyle Kothari,Great Britain,GBR,10m Platform,5,59.20,11,
Kyle Kothari,Great Britain,GBR,10m Platform,6,73.80,11,
Yang Hao,China,CHN,10m Platform,1,76.80,12,
Yang Hao,China,CHN,10m Platform,2,59.50,12,
Yang Hao,China,CHN,10m Platform,3,61.20,12,
Yang Hao,China,CHN,10m Platform,4,54.00,12,
Yang Hao,China,CHN,10m Platform,5,83.20,12,
Yang Hao,China,CHN,10m Platform,6,55.50,12,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,1,54.60,1,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,2,52.80,1,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,3,79.56,1,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,4,77.70,1,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,5,85.68,1,
Long Daoyi / Wang Zongyuan,China,CHN,3m Synchro,6,95.76,1,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,1,49.80,2,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,2,46.80,2,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,3,82.62,2,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,4,85.69,2,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,5,84.36,2,
Juan Celaya / Osmar Olvera,Mexico,MEX,3m Synchro,6,94.77,2,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,1,49.80,3,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,2,49.20,3,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,3,82.62,3,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,4,76.50,3,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,5,85.41,3,
Anthony Harding / Jack Laugher,Great Britain,GBR,3m Synchro,6,94.62,3,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,1,50.40,4,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,2,48.00,4,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,3,73.47,4,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,4,82.62,4,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,5,74.46,4,
Lorenzo Marsaglia / Giovanni Tocci,Italy,ITA,3m Synchro,6,74.10,4,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,1,47.40,5,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,2,47.40,5,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,3,69.36,5,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,4,60.42,5,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,5,77.52,5,
Jules Bouyer / Alexis Jandard,France,FRA,3m Synchro,6,67.20,5,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,1,47.40,6,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,2,45.00,6,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,3,64.80,6,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,4,69.75,6,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,5,72.45,6,
Adrián Abadía / Nicolás García Boissier,Spain,ESP,3m Synchro,6,62.22,6,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,1,47.40,7,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,2,43.80,7,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,3,58.14,7,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,4,67.89,7,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,5,62.70,7,
Oleg Kolodiy / Danylo Konovalov,Ukraine,UKR,3m Synchro,6,68.34,7,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,1,49.80,8,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,2,48.60,8,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,3,37.74,8,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,4,72.42,8,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,5,64.05,8,
Tyler Downs / Greg Duncan,United States,USA,3m Synchro,6,73.47,8,
